기준일,대장주엔진평가금액,진짜방공호평가금액,CTA평가금액,방어구역평가금액,수익부스터평가금액,방공호평가금액,통합총자산,통합수익률,통합MDD,대장주현재비중,진짜방공호현재비중,CTA현재비중,방어구역현재비중,수익부스터현재비중,064상위리밸런싱,방공호보유,진짜방공호보유,CTA보유,수익부스터보유,방공호데이터자산수,방공호데이터자산,방공호모드
2026-04-03,0,50000000,10000000,60000000,40000000,100000000,100000000,0.0,0.0,0.0,50.0,10.0,60.0,40.0,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-06,0,49949851,10042890,59992741,39998512,99991253,99991253,-0.01,-0.01,0.0,49.95,10.04,60.0,40.0,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-07,0,49849929,10039591,59889520,40174259,100063779,100063779,0.06,0.0,0.0,49.82,10.03,59.85,40.15,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-08,0,49826789,9957110,59783899,42788122,102572021,102572021,2.57,0.0,0.0,48.58,9.71,58.28,41.72,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-09,0,49720173,9986803,59706976,42027417,101734393,101734393,1.73,-0.82,0.0,48.87,9.82,58.69,41.31,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-10,0,49819544,10006599,59826143,42553151,102379294,102379294,2.38,-0.19,0.0,48.66,9.77,58.44,41.56,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-13,0,49852215,10042890,59895105,42322067,102217172,102217172,2.22,-0.35,0.0,48.77,9.83,58.6,41.4,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-14,0,49813715,9996701,59810416,43159664,102970080,102970080,2.97,0.0,0.0,48.38,9.71,58.09,41.91,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-15,0,49860207,9983504,59843711,44477701,104321412,104321412,4.32,0.0,0.0,47.79,9.57,57.36,42.64,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
2026-04-16,0,49856851,10036292,59893143,45134639,105027782,105027782,5.03,0.0,0.0,47.47,9.56,57.03,42.97,,"방어구역[기존방공호[CASH:50%,GOLD:25%,DOLLAR:25%] / CTA[CTA:100%]] / 부스터[KODEX200:50%,KOSDAQ150:50%]","CASH:50%,GOLD:25%,DOLLAR:25%",CTA:100%,"KODEX200:50%,KOSDAQ150:50%",6,"KODEX200,KOSDAQ150,NASDAQ100,GOLD,DOLLAR,CTA",0/6/4-C10 CTA방공호_TRUE_DEFENSE_RECALC
