기준일,다음매매일,장세,장세매수배율,장세매수필터,보유섹터,오늘신호섹터,현금,평가금액,총자산,누적실현손익,일일손익,최대낙폭,보유종목수,매수건수,매도건수,메모
2023-07-12,2023-07-13,횡보장,0.0,상승공격 + 횡보차단,,건설,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-13,2023-07-14,횡보장,0.0,상승공격 + 횡보차단,,바이오,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-14,2023-07-17,횡보장,0.0,상승공격 + 횡보차단,,자동차,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-17,2023-07-18,횡보장,0.0,상승공격 + 횡보차단,,"건설,로봇,인터넷/소프트웨어",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-18,2023-07-19,횡보장,0.0,상승공격 + 횡보차단,,화학/정유,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-19,2023-07-20,횡보장,0.0,상승공격 + 횡보차단,,,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-20,2023-07-21,횡보장,0.0,상승공격 + 횡보차단,,,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-21,2023-07-24,횡보장,0.0,상승공격 + 횡보차단,,"운송/해운,로봇,금융",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-24,2023-07-25,횡보장,0.0,상승공격 + 횡보차단,,,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-25,2023-07-26,횡보장,0.0,상승공격 + 횡보차단,,엔터/게임,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-26,2023-07-27,횡보장,0.0,상승공격 + 횡보차단,,전력/전선/인프라,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-27,2023-07-28,횡보장,0.0,상승공격 + 횡보차단,,"방산/우주,금융,바이오",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-28,2023-07-31,횡보장,0.0,상승공격 + 횡보차단,,,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-07-31,2023-08-01,횡보장,0.0,상승공격 + 횡보차단,,"로봇,지주/밸류업",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-08-01,2023-08-02,횡보장,0.0,상승공격 + 횡보차단,,"지주/밸류업,엔터/게임,로봇",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-08-02,2023-08-03,횡보장,0.0,상승공격 + 횡보차단,,"원전/에너지,자동차,엔터/게임",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-08-03,2023-08-04,횡보장,0.0,상승공격 + 횡보차단,,"바이오,엔터/게임",100000000.0,0.0,100000000.0,0.0,0.0,0.0,0,0,0,
2023-08-04,2023-08-07,상승장,1.2,상승공격 + 횡보차단,엔터/게임,엔터/게임,88180878.0,11968000.0,100148878.0,0.0,148878.0,0.0,1,1,0,
2023-08-07,2023-08-08,횡보장,0.0,상승공격 + 횡보차단,엔터/게임,자동차,88180878.0,12078000.0,100258878.0,0.0,110000.0,0.0,1,0,0,
2023-08-08,2023-08-09,횡보장,0.0,상승공격 + 횡보차단,엔터/게임,,88180878.0,11968000.0,100148878.0,0.0,-110000.0,-0.11,1,0,0,
2023-08-09,2023-08-10,횡보장,0.0,상승공격 + 횡보차단,엔터/게임,바이오,88180878.0,11418000.0,99598878.0,0.0,-550000.0,-0.66,1,0,0,
2023-08-10,2023-08-11,횡보장,0.0,상승공격 + 횡보차단,엔터/게임,"운송/해운,방산/우주,바이오",88180878.0,11286000.0,99466878.0,0.0,-132000.0,-0.79,1,0,0,
2023-08-11,2023-08-14,횡보장,0.0,상승공격 + 횡보차단,,"화장품,조선/기계",99155578.0,0.0,99155578.0,-844422.0,-311300.0,-1.1,0,0,1,
2023-08-14,2023-08-16,횡보장,0.0,상승공격 + 횡보차단,,"음식료,조선/기계",99155578.0,0.0,99155578.0,-844422.0,0.0,-1.1,0,0,0,
2023-08-16,2023-08-17,조정장,0.5,상승공격 + 횡보차단,PCB,"PCB,음식료",94192999.0,5018100.0,99211099.0,-844422.0,55521.0,-1.1,1,1,0,
2023-08-17,2023-08-18,조정장,0.5,상승공격 + 횡보차단,"PCB,금융",금융,89215176.0,10427464.0,99642640.0,-844422.0,431541.0,-1.1,2,1,0,
2023-08-18,2023-08-21,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운",운송/해운,90158262.0,10013480.0,100171742.0,142523.0,529102.0,-1.1,2,1,1,
2023-08-21,2023-08-22,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운",,90158262.0,10115770.0,100274032.0,142523.0,102290.0,-1.1,2,0,0,
2023-08-22,2023-08-23,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운",조선/기계,90158262.0,9931000.0,100089262.0,142523.0,-184770.0,-1.1,2,0,0,
2023-08-23,2023-08-24,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운",원전/에너지,90158262.0,9958480.0,100116742.0,142523.0,27480.0,-1.1,2,0,0,
2023-08-24,2023-08-25,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",,90158262.0,10002530.0,100160792.0,142523.0,44050.0,-1.1,2,0,0,
2023-08-25,2023-08-28,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운","자동차,소비/유통/호텔",90158262.0,9903500.0,100061762.0,142523.0,-99030.0,-1.1,2,0,0,
2023-08-28,2023-08-29,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운","원전/에너지,조선/기계,건설",90158262.0,9955650.0,100113912.0,142523.0,52150.0,-1.1,2,0,0,
2023-08-29,2023-08-30,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운","엔터/게임,자동차,조선/기계",90158262.0,10083800.0,100242062.0,142523.0,128150.0,-1.1,2,0,0,
2023-08-30,2023-08-31,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운",원전/에너지,90158262.0,9921690.0,100079952.0,142523.0,-162110.0,-1.1,2,0,0,
2023-08-31,2023-09-01,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","원전/에너지,금융",90158262.0,9962480.0,100120742.0,142523.0,40790.0,-1.1,2,0,0,
2023-09-01,2023-09-04,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",전력/전선/인프라,90158262.0,9897000.0,100055262.0,142523.0,-65480.0,-1.1,2,0,0,
2023-09-04,2023-09-05,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",화학/정유,90158262.0,9992400.0,100150662.0,142523.0,95400.0,-1.1,2,0,0,
2023-09-05,2023-09-06,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",,90158262.0,9962890.0,100121152.0,142523.0,-29510.0,-1.1,2,0,0,
2023-09-06,2023-09-07,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","방산/우주,화학/정유",90158262.0,9959240.0,100117502.0,142523.0,-3650.0,-1.1,2,0,0,
2023-09-07,2023-09-08,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","자동차,방산/우주,바이오",90158262.0,9955200.0,100113462.0,142523.0,-4040.0,-1.1,2,0,0,
2023-09-08,2023-09-11,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","지주/밸류업,PCB",90158262.0,10004930.0,100163192.0,142523.0,49730.0,-1.1,2,0,0,
2023-09-11,2023-09-12,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","바이오,원전/에너지,금융",90158262.0,10063520.0,100221782.0,142523.0,58590.0,-1.1,2,0,0,
2023-09-12,2023-09-13,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",,90158262.0,9953970.0,100112232.0,142523.0,-109550.0,-1.1,2,0,0,
2023-09-13,2023-09-14,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","화학/정유,자동차,금융",90158262.0,9792640.0,99950902.0,142523.0,-161330.0,-1.1,2,0,0,
2023-09-14,2023-09-15,상승장,1.2,상승공격 + 횡보차단,"금융,운송/해운","자동차,금융,화학/정유",78166194.0,22109450.0,100275644.0,142523.0,324742.0,-1.1,3,2,0,
2023-09-15,2023-09-18,상승장,1.2,상승공격 + 횡보차단,"금융,운송/해운","금융,화학/정유,자동차",80913660.0,20078700.0,100992360.0,375419.0,716716.0,-1.1,3,0,1,
2023-09-18,2023-09-19,상승장,1.2,상승공격 + 횡보차단,"금융,운송/해운",화학/정유,80913660.0,20086000.0,100999660.0,375419.0,7300.0,-1.1,3,0,0,
2023-09-19,2023-09-20,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",,80913660.0,19851550.0,100765210.0,375419.0,-234450.0,-1.1,3,0,0,
2023-09-20,2023-09-21,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운",운송/해운,87248257.0,14085000.0,101333257.0,726034.0,568047.0,-1.1,2,0,1,
2023-09-21,2023-09-22,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","엔터/게임,통신",87248257.0,14142000.0,101390257.0,726034.0,57000.0,-1.1,2,0,0,
2023-09-22,2023-09-25,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","방산/우주,PCB,통신",87248257.0,13702800.0,100951057.0,726034.0,-439200.0,-1.1,2,0,0,
2023-09-25,2023-09-26,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","엔터/게임,자동차",87248257.0,13605600.0,100853857.0,726034.0,-97200.0,-1.1,2,0,0,
2023-09-26,2023-09-27,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","화학/정유,금융,인터넷/소프트웨어",87248257.0,13537200.0,100785457.0,726034.0,-68400.0,-1.1,2,0,0,
2023-09-27,2023-10-04,횡보장,0.0,상승공격 + 횡보차단,"금융,운송/해운","화학/정유,자동차",87248257.0,13386000.0,100634257.0,726034.0,-151200.0,-1.1,2,0,0,
2023-10-04,2023-10-05,조정장,0.5,상승공격 + 횡보차단,"금융,운송/해운","인터넷/소프트웨어,자동차,통신",87248257.0,12981000.0,100229257.0,726034.0,-405000.0,-1.15,2,0,0,
