매매일,신호일,구분,사유,섹터,역할,현재역할,코드,종목,차수,수량,가격,매매금액,수수료세금,실현손익,현금,메모
2026-06-08,2026-06-05,매도,전량회수 신호,방산/우주,대장주,현재대장,012450,한화에어로스페이스,3,28,955000.0,26740000.0,61502.0,-8061220.0,112049599.0,다음거래일 시가
2024-07-19,2024-07-18,매도,전량회수 신호,철강/비철,대장주,현재대장,005490,POSCO홀딩스,3,55,365000.0,20075000.0,46172.0,-2772996.0,93174610.0,다음거래일 시가
2025-11-13,2025-11-12,매도,전량회수 신호,화장품,대장주,현재대장,278470,APR,2,115,211500.0,24322500.0,55942.0,-1990695.0,90109126.0,다음거래일 시가
2026-02-11,2026-02-10,매도,2등대표주 역할이탈 손실축소 -5% 전량회수,조선/기계,2등대표주,감시,042660,한화오션,2,169,131100.0,22155900.0,50959.0,-1686754.0,113578790.0,다음거래일 시가
2026-03-11,2026-03-10,매도,전량회수 신호,화학/정유,대장주,현재대장,010950,S-Oil,1,59,114100.0,6731900.0,15483.0,-1663112.0,136012383.0,다음거래일 시가
2026-06-23,2026-06-22,매도,전량회수 신호,조선/기계,대장주,현재대장,042660,한화오션,2,153,118400.0,18115200.0,41665.0,-1644512.0,139253422.0,다음거래일 시가
2026-03-10,2026-03-09,매도,일부팔기/발빼기 신호,화학/정유,대장주,현재대장,010950,S-Oil,1,59,119000.0,7021000.0,16148.0,-1374677.0,129295967.0,다음거래일 시가
2025-09-02,2025-09-01,매도,전량회수 신호,지주/밸류업,대장주,현재대장,000150,두산,1,25,539000.0,13475000.0,30992.0,-1364975.0,125869337.0,다음거래일 시가
2026-03-09,2026-03-06,매도,전량회수 신호,엔터/게임,대장주,현재대장,352820,하이브,2,49,330000.0,16170000.0,37191.0,-1179418.0,122291115.0,다음거래일 시가
2023-12-26,2023-12-22,매도,전량회수 신호,조선/기계,대장주,현재대장,042660,한화오션,1,448,25100.0,11244800.0,25863.0,-1106948.0,89165517.0,다음거래일 시가
2025-06-18,2025-06-17,매도,전량회수 신호,운송/해운,2등대표주,감시,003490,대한항공,2,816,21200.0,17299200.0,39788.0,-955637.0,117010436.0,다음거래일 시가
2023-08-14,2023-08-11,매도,전량회수 신호,엔터/게임,대장주,현재2등대표,352820,하이브,1,44,250000.0,11000000.0,25300.0,-844422.0,99155578.0,다음거래일 시가
2026-03-24,2026-03-23,매도,2등대표주 역할이탈 손실축소 -5% 전량회수,조선/기계,2등대표주,감시,009540,HD한국조선해양,1,22,380000.0,8360000.0,19228.0,-832278.0,111497612.0,다음거래일 시가
