기준일,장세,총자산,전략일수익률,KODEX200종가,KODEX200일수익률,KODEX200_20일수익률,현금,보유섹터,오늘신호섹터
2023-07-12,횡보장,100000000.0,0.0,32366,0.641,-1.269,100000000.0,,건설
2023-07-13,횡보장,100000000.0,0.0,32625,0.8,-0.129,100000000.0,,바이오
2023-07-14,횡보장,100000000.0,0.0,33120,1.517,0.899,100000000.0,,자동차
2023-07-17,횡보장,100000000.0,0.0,32990,-0.393,1.06,100000000.0,,"건설,로봇,인터넷/소프트웨어"
2023-07-18,횡보장,100000000.0,0.0,32777,-0.646,0.583,100000000.0,,화학/정유
2023-07-19,횡보장,100000000.0,0.0,32739,-0.116,1.416,100000000.0,,
2023-07-20,횡보장,100000000.0,0.0,32639,-0.305,0.856,100000000.0,,
2023-07-21,횡보장,100000000.0,0.0,32672,0.101,1.441,100000000.0,,"운송/해운,로봇,금융"
2023-07-24,횡보장,100000000.0,0.0,32888,0.661,1.613,100000000.0,,
2023-07-25,횡보장,100000000.0,0.0,32943,0.167,1.824,100000000.0,,엔터/게임
2023-07-26,횡보장,100000000.0,0.0,32516,-1.296,1.044,100000000.0,,전력/전선/인프라
2023-07-27,횡보장,100000000.0,0.0,32911,1.215,2.287,100000000.0,,"방산/우주,금융,바이오"
2023-07-28,횡보장,100000000.0,0.0,32834,-0.234,1.751,100000000.0,,
2023-07-31,횡보장,100000000.0,0.0,32982,0.451,0.641,100000000.0,,"로봇,지주/밸류업"
2023-08-01,횡보장,100000000.0,0.0,33523,1.64,2.693,100000000.0,,"지주/밸류업,엔터/게임,로봇"
2023-08-02,횡보장,100000000.0,0.0,32797,-2.166,1.429,100000000.0,,"원전/에너지,자동차,엔터/게임"
2023-08-03,횡보장,100000000.0,0.0,32577,-0.671,1.527,100000000.0,,"바이오,엔터/게임"
2023-08-04,상승장,100148878.0,0.149,32582,0.015,3.007,88180878.0,엔터/게임,엔터/게임
2023-08-07,횡보장,100258878.0,0.11,32501,-0.249,2.92,88180878.0,엔터/게임,자동차
