매매일,신호일,구분,사유,섹터,역할,현재역할,코드,종목,차수,수량,가격,매매금액,수수료세금,실현손익,현금,메모
2023-08-07,2023-08-04,매수,대장주 1차,엔터/게임,대장주,현재대장,352820,하이브,1,44,268000.0,11792000.0,27122.0,0.0,88180878.0,다음거래일 시가
2023-08-14,2023-08-11,매도,전량회수 신호,엔터/게임,대장주,현재2등대표,352820,하이브,1,44,250000.0,11000000.0,25300.0,-844422.0,99155578.0,다음거래일 시가
2023-08-17,2023-08-16,매수,대장주 1차,PCB,대장주,현재대장,007660,이수페타시스,1,172,28786.0,4951192.0,11388.0,0.0,94192999.0,다음거래일 시가
2023-08-18,2023-08-17,매수,대장주 1차,금융,대장주,현재대장,105560,KB금융,1,97,51200.0,4966400.0,11423.0,0.0,89215176.0,다음거래일 시가
2023-08-21,2023-08-18,매도,대장주 +18% 전량익절,PCB,대장주,현재대장,007660,이수페타시스,1,172,34670.0,5963240.0,13715.0,986945.0,95164700.0,다음거래일 시가
2023-08-21,2023-08-18,매수,대장주 1차,운송/해운,대장주,현재대장,011200,HMM,1,283,17650.0,4994950.0,11488.0,0.0,90158262.0,다음거래일 시가
2023-09-15,2023-09-14,매수,2등대표주 1차,금융,2등대표주,현재2등대표,086790,하나금융지주,1,143,41750.0,5970250.0,13732.0,0.0,84174281.0,다음거래일 시가
2023-09-15,2023-09-14,매수,대장주 2차 눌림,운송/해운,대장주,현재대장,011200,HMM,2,377,15900.0,5994300.0,13787.0,0.0,78166194.0,다음거래일 시가
2023-09-18,2023-09-15,매도,대장주 +10% 1차익절,금융,대장주,현재대장,105560,KB금융,1,49,56200.0,2753800.0,6334.0,232896.0,80913660.0,다음거래일 시가
2023-09-21,2023-09-20,매도,2등대표주 +5% 익절,금융,2등대표주,현재대장,086790,하나금융지주,1,143,44400.0,6349200.0,14603.0,350615.0,87248257.0,다음거래일 시가
2023-10-06,2023-10-05,매도,전량회수 신호,금융,대장주,현재대장,105560,KB금융,1,48,53700.0,2577600.0,5928.0,108419.0,89819928.0,다음거래일 시가
2023-10-06,2023-10-05,매수,대장주 3차 눌림,운송/해운,대장주,현재대장,011200,HMM,3,97,15460.0,1499620.0,3449.0,0.0,88316859.0,다음거래일 시가
2023-10-06,2023-10-05,매수,대장주 1차,지주/밸류업,대장주,현재대장,000150,두산,1,54,91200.0,4924800.0,11327.0,0.0,83380732.0,다음거래일 시가
2023-10-11,2023-10-10,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,379,15040.0,5700160.0,13110.0,-580015.0,89067782.0,다음거래일 시가
2023-10-11,2023-10-10,매도,전량회수 신호,지주/밸류업,대장주,현재대장,000150,두산,1,54,86900.0,4692600.0,10793.0,-254320.0,93749589.0,다음거래일 시가
2023-10-11,2023-10-10,매수,대장주 1차,방산/우주,대장주,현재대장,012450,한화에어로스페이스,1,48,103188.0,4953024.0,11392.0,0.0,88785173.0,다음거래일 시가
2023-10-12,2023-10-11,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,189,15180.0,2869020.0,6599.0,-262843.0,91647594.0,다음거래일 시가
2023-10-13,2023-10-12,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,감시,011200,HMM,3,95,14890.0,1414550.0,3253.0,-159604.0,93058891.0,다음거래일 시가
2023-10-16,2023-10-13,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,47,14400.0,676800.0,1557.0,-101939.0,93734134.0,다음거래일 시가
2023-10-17,2023-10-16,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,24,14710.0,353040.0,812.0,-44631.0,94086362.0,다음거래일 시가
2023-10-17,2023-10-16,매수,대장주 1차,운송/해운,대장주,현재대장,003490,대한항공,1,250,19870.0,4967500.0,11425.0,0.0,89107437.0,다음거래일 시가
2023-10-18,2023-10-17,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,12,14670.0,176040.0,405.0,-22794.0,89283072.0,다음거래일 시가
2023-10-23,2023-10-20,매수,대장주 2차 눌림,방산/우주,대장주,현재대장,012450,한화에어로스페이스,2,26,91881.0,2388906.0,5494.0,0.0,86888671.0,다음거래일 시가
2023-10-31,2023-10-30,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,6,14990.0,89940.0,207.0,-9482.0,86978404.0,다음거래일 시가
2023-11-01,2023-10-31,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,3,14600.0,43800.0,101.0,-5908.0,87022104.0,다음거래일 시가
2023-11-02,2023-11-01,매도,대장주 +10% 1차익절,방산/우주,대장주,현재대장,012450,한화에어로스페이스,2,37,117553.0,4349461.0,10004.0,660049.0,91361561.0,다음거래일 시가
2023-11-02,2023-11-01,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,감시,011200,HMM,3,1,15010.0,15010.0,35.0,-1560.0,91376536.0,다음거래일 시가
2023-11-03,2023-11-02,매도,대장주 +18% 전량익절,방산/우주,대장주,현재대장,012450,한화에어로스페이스,2,37,117551.0,4349387.0,10004.0,659975.0,95715920.0,다음거래일 시가
2023-11-03,2023-11-02,매도,대장주 역할이탈 손실축소 -8% 일부회수,운송/해운,대장주,현재2등대표,011200,HMM,3,1,15030.0,15030.0,35.0,-1540.0,95730915.0,다음거래일 시가
2023-11-07,2023-11-06,매수,2등대표주 1차,로봇,2등대표주,현재2등대표,319400,현대무벡스,1,1906,3180.0,6061080.0,13940.0,0.0,89655895.0,다음거래일 시가
2023-11-07,2023-11-06,매수,대장주 1차,로봇,대장주,현재대장,277810,레인보우로보틱스,1,70,171700.0,12019000.0,27644.0,0.0,77609251.0,다음거래일 시가
