코드,종목,섹터,섹터역할,대표순위,회전성,사용여부,메모
000660,SK하이닉스,반도체,대장주,1,좋음,Y,HBM/메모리 현재 주도축
005930,삼성전자,반도체,2등대표주,2,보통,Y,반도체 초대형 기준축
042700,한미반도체,반도체,회전형중형주,3,좋음,Y,HBM 장비 대표
403870,HPSP,반도체,회전형중형주,4,좋음,Y,전공정 장비 대표
039030,이오테크닉스,반도체,회전형중형주,5,좋음,Y,레이저 장비 대표
036930,주성엔지니어링,반도체,회전형중형주,6,좋음,Y,증착 장비 회전
058470,리노공업,반도체,회전형중형주,7,좋음,Y,테스트 소켓 대표
000990,DB하이텍,반도체,회전형중형주,8,좋음,Y,파운드리 회전
005290,동진쎄미켐,반도체,회전형중형주,9,좋음,Y,소재 대표
240810,원익IPS,반도체,회전형중형주,10,보통,Y,장비 대표
089030,테크윙,반도체,회전형중형주,11,좋음,Y,후공정 회전
095340,ISC,반도체,회전형중형주,12,좋음,Y,테스트 부품 회전
067310,하나마이크론,반도체,회전형중형주,13,좋음,Y,후공정 대표
007660,이수페타시스,PCB,대장주,1,좋음,Y,AI 서버 PCB 대표
353200,대덕전자,PCB,2등대표주,2,좋음,Y,PCB 회전
222800,심텍,PCB,회전형중형주,3,좋음,Y,패키지기판 회전
090460,비에이치,PCB,회전형중형주,4,좋음,Y,FPCB 회전
005380,현대차,자동차,대장주,1,보통,Y,완성차 대장
000270,기아,자동차,2등대표주,2,보통,Y,완성차 대표
012330,현대모비스,자동차,회전형중형주,3,보통,Y,부품 대형
307950,현대오토에버,자동차,회전형중형주,4,좋음,Y,SDV/소프트웨어 회전
204320,HL만도,자동차,회전형중형주,5,보통,Y,부품 회전
011210,현대위아,자동차,회전형중형주,6,보통,Y,부품/기계 회전
329180,HD현대중공업,조선/기계,대장주,1,보통,Y,조선 대장
009540,HD한국조선해양,조선/기계,2등대표주,2,보통,Y,조선 지주/대표
042660,한화오션,조선/기계,회전형중형주,3,좋음,Y,조선 회전
010140,삼성중공업,조선/기계,회전형중형주,4,좋음,Y,조선 회전
010620,HD현대미포,조선/기계,회전형중형주,5,보통,Y,중형 조선
075580,세진중공업,조선/기계,회전형중형주,6,좋음,Y,조선 기자재 회전
071970,HD현대마린엔진,조선/기계,회전형중형주,7,좋음,Y,엔진/기자재 회전
267260,HD현대일렉트릭,전력/전선/인프라,대장주,1,좋음,Y,전력기기 대장
010120,LS ELECTRIC,전력/전선/인프라,2등대표주,2,좋음,Y,전력기기 대표
298040,효성중공업,전력/전선/인프라,회전형중형주,3,좋음,Y,변압기/중공업 회전
006260,LS,전력/전선/인프라,회전형중형주,4,좋음,Y,전선/지주 회전
001440,대한전선,전력/전선/인프라,회전형중형주,5,좋음,Y,전선 회전
103590,일진전기,전력/전선/인프라,회전형중형주,6,좋음,Y,전선/전력설비 회전
033100,제룡전기,전력/전선/인프라,회전형중형주,7,좋음,Y,변압기 회전
000500,가온전선,전력/전선/인프라,회전형중형주,8,좋음,Y,전선 회전
034020,두산에너빌리티,원전/에너지,대장주,1,좋음,Y,원전/발전 대장
052690,한전기술,원전/에너지,2등대표주,2,좋음,Y,원전 설계 대표
105840,우진,원전/에너지,회전형중형주,3,좋음,Y,원전 계측 회전
083650,비에이치아이,원전/에너지,회전형중형주,4,좋음,Y,발전설비 회전
015760,한국전력,원전/에너지,회전형중형주,5,보통,Y,전력 유틸리티 기준
036460,한국가스공사,원전/에너지,회전형중형주,6,보통,Y,가스/에너지 회전
105560,KB금융,금융,대장주,1,보통,Y,은행 대장
055550,신한지주,금융,2등대표주,2,보통,Y,은행 대표
086790,하나금융지주,금융,회전형중형주,3,보통,Y,은행 회전
316140,우리금융지주,금융,회전형중형주,4,보통,Y,은행 회전
006800,미래에셋증권,금융,회전형중형주,5,보통,Y,증권 대표
039490,키움증권,금융,회전형중형주,6,좋음,Y,증권 회전
032830,삼성생명,금융,회전형중형주,7,보통,Y,보험 대표
000810,삼성화재,금융,회전형중형주,8,보통,Y,손보 대표
000720,현대건설,건설,대장주,1,보통,Y,건설 대형
028050,삼성E&A,건설,2등대표주,2,좋음,Y,플랜트 대표
047040,대우건설,건설,회전형중형주,3,보통,Y,건설 회전
375500,DL이앤씨,건설,회전형중형주,4,보통,Y,건설 회전
006360,GS건설,건설,회전형중형주,5,보통,Y,건설 회전
294870,HDC현대산업개발,건설,회전형중형주,6,보통,Y,건설 회전
207940,삼성바이오로직스,바이오,대장주,1,낮음,Y,바이오 대형
068270,셀트리온,바이오,2등대표주,2,보통,Y,바이오 대표
196170,알테오젠,바이오,회전형중형주,3,좋음,Y,성장 바이오 회전
000100,유한양행,바이오,회전형중형주,4,보통,Y,제약 대표
141080,리가켐바이오,바이오,회전형중형주,5,좋음,Y,ADC 회전
028300,HLB,바이오,회전형중형주,6,좋음,Y,바이오 회전
326030,SK바이오팜,바이오,회전형중형주,7,보통,Y,제약/바이오 회전
128940,한미약품,바이오,회전형중형주,8,보통,Y,제약 대표
278470,APR,화장품,대장주,1,좋음,Y,K뷰티 고성장 대표
090430,아모레퍼시픽,화장품,2등대표주,2,보통,Y,화장품 대형
192820,코스맥스,화장품,회전형중형주,3,좋음,Y,ODM 대표
161890,한국콜마,화장품,회전형중형주,4,좋음,Y,ODM 회전
257720,실리콘투,화장품,회전형중형주,5,좋음,Y,K뷰티 유통 회전
018290,브이티,화장품,회전형중형주,6,좋음,Y,화장품 회전
237880,클리오,화장품,회전형중형주,7,좋음,Y,색조 화장품 회전
008770,호텔신라,소비/유통/호텔,대장주,1,좋음,Y,호텔/면세 회전
004170,신세계,소비/유통/호텔,2등대표주,2,보통,Y,백화점/면세
069960,현대백화점,소비/유통/호텔,회전형중형주,3,보통,Y,유통 회전
139480,이마트,소비/유통/호텔,회전형중형주,4,보통,Y,마트/유통 회전
034230,파라다이스,소비/유통/호텔,회전형중형주,5,좋음,Y,카지노/관광 회전
114090,GKL,소비/유통/호텔,회전형중형주,6,보통,Y,카지노 회전
373220,LG에너지솔루션,2차전지,대장주,1,낮음,Y,배터리 대장
006400,삼성SDI,2차전지,2등대표주,2,보통,Y,배터리 대표
051910,LG화학,2차전지,회전형중형주,3,보통,Y,배터리/화학 소재축
003670,포스코퓨처엠,2차전지,회전형중형주,4,좋음,Y,소재 대표
247540,에코프로비엠,2차전지,회전형중형주,5,좋음,Y,양극재 회전
086520,에코프로,2차전지,회전형중형주,6,좋음,Y,지주 회전
066970,엘앤에프,2차전지,회전형중형주,7,좋음,Y,양극재 회전
011790,SKC,2차전지,회전형중형주,8,좋음,Y,동박/소재 회전
012450,한화에어로스페이스,방산/우주,대장주,1,좋음,Y,방산 대장
064350,현대로템,방산/우주,2등대표주,2,좋음,Y,방산/철도 회전
079550,LIG넥스원,방산/우주,회전형중형주,3,좋음,Y,유도무기/방산 회전
047810,한국항공우주,방산/우주,회전형중형주,4,보통,Y,항공우주 대표
272210,한화시스템,방산/우주,회전형중형주,5,좋음,Y,방산/우주 회전
103140,풍산,방산/우주,회전형중형주,6,좋음,Y,탄약/구리 회전
010820,퍼스텍,방산/우주,회전형중형주,7,좋음,Y,방산 소형 회전
035420,NAVER,인터넷/소프트웨어,대장주,1,보통,Y,인터넷 대장
035720,카카오,인터넷/소프트웨어,2등대표주,2,보통,Y,인터넷 대표
018260,삼성에스디에스,인터넷/소프트웨어,회전형중형주,3,보통,Y,IT서비스 대형
012510,더존비즈온,인터넷/소프트웨어,회전형중형주,4,보통,Y,소프트웨어 대표
042000,카페24,인터넷/소프트웨어,회전형중형주,5,좋음,Y,커머스 플랫폼 회전
053800,안랩,인터넷/소프트웨어,회전형중형주,6,좋음,Y,보안 소프트웨어 회전
352820,하이브,엔터/게임,대장주,1,보통,Y,엔터 대장
035900,JYP Ent.,엔터/게임,2등대표주,2,좋음,Y,엔터 대표
041510,에스엠,엔터/게임,회전형중형주,3,좋음,Y,엔터 회전
122870,와이지엔터테인먼트,엔터/게임,회전형중형주,4,좋음,Y,엔터 회전
259960,크래프톤,엔터/게임,회전형중형주,5,보통,Y,게임 대형
036570,엔씨소프트,엔터/게임,회전형중형주,6,보통,Y,게임 대표
251270,넷마블,엔터/게임,회전형중형주,7,보통,Y,게임 회전
096770,SK이노베이션,화학/정유,대장주,1,보통,Y,정유/에너지 대형
010950,S-Oil,화학/정유,2등대표주,2,보통,Y,정유 대표
011170,롯데케미칼,화학/정유,회전형중형주,3,보통,Y,화학 대표
009830,한화솔루션,화학/정유,회전형중형주,4,보통,Y,화학/태양광 회전
011780,금호석유,화학/정유,회전형중형주,5,보통,Y,화학 회전
005490,POSCO홀딩스,철강/비철,대장주,1,보통,Y,철강/소재 대장
004020,현대제철,철강/비철,2등대표주,2,보통,Y,철강 대표
010130,고려아연,철강/비철,회전형중형주,3,보통,Y,비철 대표
000670,영풍,철강/비철,회전형중형주,4,보통,Y,비철 회전
001230,동국홀딩스,철강/비철,회전형중형주,5,보통,Y,철강 회전
011200,HMM,운송/해운,대장주,1,좋음,Y,해운 대장
003490,대한항공,운송/해운,2등대표주,2,보통,Y,항공 대표
086280,현대글로비스,운송/해운,회전형중형주,3,보통,Y,물류 대표
000120,CJ대한통운,운송/해운,회전형중형주,4,보통,Y,택배/물류 회전
028670,팬오션,운송/해운,회전형중형주,5,보통,Y,해운 회전
097950,CJ제일제당,음식료,대장주,1,보통,Y,음식료 대형
271560,오리온,음식료,2등대표주,2,보통,Y,음식료 대표
003230,삼양식품,음식료,회전형중형주,3,좋음,Y,라면/수출 회전
004370,농심,음식료,회전형중형주,4,보통,Y,음식료 회전
000080,하이트진로,음식료,회전형중형주,5,보통,Y,주류 회전
005300,롯데칠성,음식료,회전형중형주,6,보통,Y,음료 회전
017670,SK텔레콤,통신,대장주,1,낮음,Y,통신 대형
030200,KT,통신,2등대표주,2,낮음,Y,통신 대표
032640,LG유플러스,통신,회전형중형주,3,낮음,Y,통신 회전
454910,두산로보틱스,로봇,대장주,1,좋음,Y,로봇 대장
277810,레인보우로보틱스,로봇,2등대표주,2,좋음,Y,로봇 대표
319400,현대무벡스,로봇,회전형중형주,3,좋음,Y,물류자동화 회전
108490,로보티즈,로봇,회전형중형주,4,좋음,Y,서비스로봇 회전
058610,에스피지,로봇,회전형중형주,5,좋음,Y,감속기 회전
056080,유진로봇,로봇,회전형중형주,6,좋음,Y,로봇 회전
028260,삼성물산,지주/밸류업,대장주,1,보통,Y,지주/밸류업 대형
402340,SK스퀘어,지주/밸류업,2등대표주,2,좋음,Y,반도체 지분/밸류업 회전
000150,두산,지주/밸류업,회전형중형주,3,좋음,Y,로봇/원전 지주 회전
000880,한화,지주/밸류업,회전형중형주,4,좋음,Y,방산/에너지 지주 회전
